Account,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
@BBC,0.0,Sat Nov 04 14:52:17 +0000 2017,1.0,0.0,0.0,"RT @BBCSport: Felipe Massa will retire from #F1  at the end of this season.

Find out more👉 https://t.co/STCmQnwvzK https://t.co/eSlDcW15wV",45
@BBC,0.4588,Sat Nov 04 14:44:58 +0000 2017,0.857,0.0,0.143,"RT @BBCOne: Welcome to the family business. 

@jginorton leads an all-star cast in #McMafia. Coming soon to @BBCOne. https://t.co/We5GwJk4i0",46
@BBC,0.0,Sat Nov 04 14:26:38 +0000 2017,1.0,0.0,0.0,RT @bbcthree: This barber reminds us how small actions can make a big difference. https://t.co/YelP68UZxh,47
@BBC,0.6369,Sat Nov 04 14:26:06 +0000 2017,0.846,0.0,0.154,"Did you know there’s a best time to eat, think &amp; do sport? It’s not just our brain's clock that keeps time for us.… https://t.co/76BDqzsz7k",48
@BBC,-0.6249,Sat Nov 04 14:03:04 +0000 2017,0.638,0.362,0.0,Police discover a suspected 'WW2 bomb' is actually a big courgette. https://t.co/YyKrAVnycQ https://t.co/vdZnam8Bjt,49
@BBC,-0.3612,Sat Nov 04 13:30:07 +0000 2017,0.878,0.122,0.0,"'We have our stories, struggles &amp; power. We just need to be represented.' Meet the photographer reframing beauty.📸✊… https://t.co/bPTmyHcNfy",50
@BBC,0.0,Sat Nov 04 13:03:09 +0000 2017,1.0,0.0,0.0,🚀 ✨ Did you know that Disney is the largest consumer of fireworks in the world? More firework facts 👉… https://t.co/QLVen2LXWX,51
@BBC,0.0,Sat Nov 04 12:32:03 +0000 2017,1.0,0.0,0.0,Can’t get enough of #BluePlanet2? Take a deeper dive into the science of the show with this podcast. 👉… https://t.co/qhoRuQ0PXz,52
@BBC,-0.3182,Sat Nov 04 12:03:04 +0000 2017,0.881,0.119,0.0,"Twitter users were left confused after the name ""Sue"" was discovered etched into an Oxfordshire field. #WhoIsSue… https://t.co/VZFnZ62n7A",53
@BBC,-0.25,Sat Nov 04 11:30:05 +0000 2017,0.693,0.172,0.135,"To celebrate Murder on the Orient Express hitting UK cinemas, here are seven train movies to set the pulse racing.… https://t.co/PqTALE0vcn",54
@BBC,0.0,Sat Nov 04 11:01:02 +0000 2017,1.0,0.0,0.0,Someone has farted on @grahnort's sofa...but who was it? 😂 (Via @BBCOne) https://t.co/zG2YvGvac9,55
@BBC,-0.1531,Sat Nov 04 10:30:05 +0000 2017,0.675,0.155,0.171,There remains intense interest in Ruan Lingyu &amp; the mystery surrounding her death. Who was the enigmatic film star?… https://t.co/hFtAJiePry,56
@BBC,-0.1779,Sat Nov 04 09:30:04 +0000 2017,0.805,0.195,0.0,Gossip travels fast in Shetland. 😂 Via @BBCTheSocial. https://t.co/vzZq1YZUYI,57
@BBC,0.8225,Sat Nov 04 09:24:21 +0000 2017,0.699,0.0,0.301,"RT @BBCCiN: The best brains in Britain are building life-changing solutions for children in the #CiN Big Life Fix special.

@BBCTwo​ Wed 8t…",58
@BBC,0.4019,Sat Nov 04 09:23:31 +0000 2017,0.856,0.0,0.144,"RT @CBeebiesHQ: Whatever the weather, keep your kids entertained this #autumn with these 5 ideas...

🍁🍂 https://t.co/wT8oVaVYqg 🙌

@HEYDUGG…",59
@BBC,0.7351,Sat Nov 04 09:22:39 +0000 2017,0.788,0.0,0.212,"RT @5liveSport: ""My kids saw me in a state that a kid should never see his Dad""

This is powerful stuff: 
Stiliyan Petrov on his brave batt…",60
@BBC,0.4877,Sat Nov 04 15:32:06 +0000 2017,0.843,0.0,0.157,"Amy Winehouse, @Adele, @LoyleCarner &amp; @EllaEyre all went to @TheBRITSchool. But it's more than just a fame academy.… https://t.co/u4UL7qZKCr",61
@BBC,0.0,Sat Nov 04 15:00:12 +0000 2017,1.0,0.0,0.0,Trucker culture is dying with automation – and with it millions of jobs. 🚛 https://t.co/UgdVkYIbFU https://t.co/71XSYxlaZt,62
@BBC,0.5994,Sat Nov 04 14:53:43 +0000 2017,0.837,0.0,0.163,"RT @BBCMOTD: Peter Crouch = super sub.

His 15th goal as a sub.

Only Defoe (23), Kanu and Solskjaer (17) have more.

https://t.co/8UftsSAX…",63
@BBC,0.0,Sat Nov 04 14:53:11 +0000 2017,1.0,0.0,0.0,"RT @BBCSport: FT England 29-10 Lebanon

Get all the reaction on @BBCTwo &amp; @5liveSport Extra 👉 https://t.co/KklI8h3yma #RLWC2017 #bbcrl #ENG…",64
@BBC,0.0,Sat Nov 04 14:52:17 +0000 2017,1.0,0.0,0.0,"RT @BBCSport: Felipe Massa will retire from #F1  at the end of this season.

Find out more👉 https://t.co/STCmQnwvzK https://t.co/eSlDcW15wV",65
@BBC,0.4588,Sat Nov 04 14:44:58 +0000 2017,0.857,0.0,0.143,"RT @BBCOne: Welcome to the family business. 

@jginorton leads an all-star cast in #McMafia. Coming soon to @BBCOne. https://t.co/We5GwJk4i0",66
@BBC,0.0,Sat Nov 04 14:26:38 +0000 2017,1.0,0.0,0.0,RT @bbcthree: This barber reminds us how small actions can make a big difference. https://t.co/YelP68UZxh,67
@BBC,0.6369,Sat Nov 04 14:26:06 +0000 2017,0.846,0.0,0.154,"Did you know there’s a best time to eat, think &amp; do sport? It’s not just our brain's clock that keeps time for us.… https://t.co/76BDqzsz7k",68
@BBC,-0.6249,Sat Nov 04 14:03:04 +0000 2017,0.638,0.362,0.0,Police discover a suspected 'WW2 bomb' is actually a big courgette. https://t.co/YyKrAVnycQ https://t.co/vdZnam8Bjt,69
@BBC,-0.3612,Sat Nov 04 13:30:07 +0000 2017,0.878,0.122,0.0,"'We have our stories, struggles &amp; power. We just need to be represented.' Meet the photographer reframing beauty.📸✊… https://t.co/bPTmyHcNfy",70
@BBC,0.0,Sat Nov 04 13:03:09 +0000 2017,1.0,0.0,0.0,🚀 ✨ Did you know that Disney is the largest consumer of fireworks in the world? More firework facts 👉… https://t.co/QLVen2LXWX,71
@BBC,0.0,Sat Nov 04 12:32:03 +0000 2017,1.0,0.0,0.0,Can’t get enough of #BluePlanet2? Take a deeper dive into the science of the show with this podcast. 👉… https://t.co/qhoRuQ0PXz,72
@BBC,-0.3182,Sat Nov 04 12:03:04 +0000 2017,0.881,0.119,0.0,"Twitter users were left confused after the name ""Sue"" was discovered etched into an Oxfordshire field. #WhoIsSue… https://t.co/VZFnZ62n7A",73
@BBC,-0.25,Sat Nov 04 11:30:05 +0000 2017,0.693,0.172,0.135,"To celebrate Murder on the Orient Express hitting UK cinemas, here are seven train movies to set the pulse racing.… https://t.co/PqTALE0vcn",74
@BBC,0.0,Sat Nov 04 11:01:02 +0000 2017,1.0,0.0,0.0,Someone has farted on @grahnort's sofa...but who was it? 😂 (Via @BBCOne) https://t.co/zG2YvGvac9,75
@BBC,-0.1531,Sat Nov 04 10:30:05 +0000 2017,0.675,0.155,0.171,There remains intense interest in Ruan Lingyu &amp; the mystery surrounding her death. Who was the enigmatic film star?… https://t.co/hFtAJiePry,76
